id,alpha
0,3.7227264390127623
1,3.779817914582555
2,4.357288252301403
3,3.3373009798972086
4,4.092269660231796
5,3.492893154590648
6,3.559737116926534
7,4.6910814210717415
8,4.12170531273727
9,4.224427367423954
10,2.608594455126426
11,3.999468515112422
12,4.187822170372979
13,4.105696228047649
14,3.750682460414337
15,3.625116051776952
16,3.6573750396478317
17,3.8186023076639737
18,3.826031393429746
19,3.5794865382457566
20,3.7146489014668687
21,4.47330781103778
22,3.0774587902623165
23,3.6111155431501767
24,3.173505074826109
25,3.796728598247845
26,4.35365044622562
27,4.114261097809619
28,3.719269362865254
29,4.889618338425352
30,3.1800208570627384
31,4.044060313836264
32,3.2318870550340586
33,3.2840397264894707
34,3.9293329848649847
35,3.8188973160654323
36,3.661869502562877
37,4.022133584850454
38,4.241172433023141
39,2.8797476440160246
40,3.982675757468458
41,3.5856387526968443
42,3.3648666055784946
43,3.9010653562466877
44,3.197093297394797
45,4.136715267646736
46,4.05174308667057
47,3.8116904067230815
48,4.046003763647422
49,4.075437907911161
50,3.0882137981975606
51,3.908166654897395
52,3.4766109068530673
53,4.2852572915471505
54,2.6374720898700503
55,4.0078277479114774
56,3.8071469124440283
57,4.048479316512737
58,4.036798600183546
59,4.225841080857953
60,3.7140409560980108
61,3.4206594481809796
62,3.9699073872493806
63,3.768270470612652
64,3.3790202317098785
65,3.8911177507436783
66,3.3624345153393627
67,3.930919388278052
68,4.019553700512794
69,4.846007646153192
70,3.151291362023598
71,3.8936361610751478
72,3.810531175677022
73,3.8004356169063915
74,3.267326046112475
75,2.754548489914917
76,3.679531429136917
77,3.765281525643384
78,3.9737066570709856
79,3.1296190473471133
80,4.3520203913634825
81,3.420228610276601
82,3.201358203931848
83,4.965481077767145
84,3.938589711120218
85,4.119367793622825
86,3.8985279603760428
87,4.204546477249665
88,3.6722007972562793
89,3.461850361372332
90,3.402345654013828
91,4.078156725219092
92,3.5980608316357965
93,4.080157781817913
94,3.8389176847945405
95,3.2843940792079405
96,3.989432115997172
97,3.59570390533669
98,3.1244824994843694
99,2.948090570243697
100,3.3166501985628978
101,4.084441337998843
102,4.220751944301856
103,4.246839179484847
104,4.016131326822677
105,3.1741329487817103
106,4.317355543009145
107,4.040368130506911
108,4.028073725010478
109,3.926085265021218
110,4.655911644653282
111,3.833691184274802
112,3.598528218786641
113,4.101024534457503
114,3.982741957850512
115,4.314968754372221
116,3.938775959764139
117,3.044843105469361
118,3.5013347307833174
119,4.116453904593285
120,3.4806432849629942
121,4.074180971943257
122,3.9866980658301645
123,2.8171501192441393
124,3.6827529254417692
125,4.1050407825856325
126,3.7334981623104055
127,4.038586674918155
128,4.427950609457885
129,2.852434941494608
130,3.3462244534922037
131,4.104577450087041
132,3.8998069885189395
133,3.562132185376742
134,3.6648333099728623
135,3.9610555692244733
136,3.368311540295274
137,3.4336291875763094
138,3.1661894301876816
139,3.2646620588906727
140,4.428565711943353
141,3.804064236061515
142,4.340494364956985
143,3.094088619339152
144,4.848332815721005
145,4.3042926422263985
146,3.2737176689921204
147,3.6542034862065256
148,4.427313074721939
149,3.4483150967173946
150,4.407389557968021
151,3.5191894555390895
152,4.739103309893444
153,3.44640415555786
154,3.864647046743482
155,3.7771162797214304
156,4.343344777010878
157,4.361015644773479
158,3.6218449532254824
159,4.10657950401971
160,3.5436807917336903
161,3.3914834443086495
162,4.2630849571123415
163,3.9960938554533336
164,3.3201791465840063
165,3.7127280531622904
166,3.9538810068204184
167,4.042149117564525
168,3.502655887816501
169,3.9827313582255943
170,4.158089818891885
171,4.212604387995065
172,4.255864672547658
173,3.679032290964791
174,4.271118491570554
175,3.8160121104545164
176,3.787313550654619
177,3.923310938240228
178,3.899446984341126
179,3.850669116120457
180,4.115321075155339
181,3.9481157435030183
182,4.751188572490665
183,4.005094306290939
184,3.9680652140382375
185,3.9967068704324857
186,3.617547528578856
187,3.4044834773077417
188,3.797833572071782
189,4.137499449935269
190,4.415662712784912
191,3.993001559441991
192,3.90336672256106
193,4.292783459674005
194,3.575402146905361
195,3.522809201394676
196,3.3047499738322736
197,3.416343923129663
198,3.987266316697791
199,3.728053147025511
200,3.207906539660374
